date,state,district,pincode,demo_age_5_17,demo_age_17_
20-09-2025,Uttar Pradesh,Gorakhpur,273158,13,49
20-09-2025,Uttar Pradesh,Gorakhpur,273203,4,25
20-09-2025,Uttar Pradesh,Gorakhpur,273211,7,20
20-09-2025,Uttar Pradesh,Gorakhpur,273213,4,21
20-09-2025,Uttar Pradesh,Gorakhpur,273401,4,22
20-09-2025,Uttar Pradesh,Gorakhpur,273403,8,31
20-09-2025,Uttar Pradesh,Gorakhpur,273407,5,33
20-09-2025,Uttar Pradesh,Gorakhpur,273409,2,6
20-09-2025,Uttar Pradesh,Gorakhpur,273412,5,32
15-10-2025,Uttar Pradesh,Gorakhpur,273158,13,52
15-10-2025,Uttar Pradesh,Gorakhpur,273162,0,1
15-10-2025,Uttar Pradesh,Gorakhpur,273213,6,19
15-10-2025,Uttar Pradesh,Gorakhpur,273401,1,29
16-10-2025,Uttar Pradesh,Gorakhpur,273003,0,6
16-10-2025,Uttar Pradesh,Gorakhpur,273213,3,14
16-10-2025,Uttar Pradesh,Gorakhpur,273306,7,42
18-10-2025,Uttar Pradesh,Gorakhpur,273002,5,22
18-10-2025,Uttar Pradesh,Gorakhpur,273152,6,29
18-10-2025,Uttar Pradesh,Gorakhpur,273155,3,5
18-10-2025,Uttar Pradesh,Gorakhpur,273203,2,23
18-10-2025,Uttar Pradesh,Gorakhpur,273403,7,22
18-10-2025,Uttar Pradesh,Gorakhpur,273407,1,42
18-10-2025,Uttar Pradesh,Gorakhpur,273413,8,45
17-10-2025,Uttar Pradesh,Gorakhpur,273017,0,1
17-10-2025,Uttar Pradesh,Gorakhpur,273152,2,40
17-10-2025,Uttar Pradesh,Gorakhpur,273211,0,11
17-10-2025,Uttar Pradesh,Gorakhpur,273404,3,18
17-10-2025,Uttar Pradesh,Gorakhpur,273405,0,10
17-10-2025,Uttar Pradesh,Gorakhpur,273411,3,21
26-10-2025,Uttar Pradesh,Gorakhpur,273003,1,9
26-10-2025,Uttar Pradesh,Gorakhpur,273010,2,14
26-10-2025,Uttar Pradesh,Gorakhpur,273013,6,53
26-10-2025,Uttar Pradesh,Gorakhpur,273155,2,14
26-10-2025,Uttar Pradesh,Gorakhpur,273203,4,28
26-10-2025,Uttar Pradesh,Gorakhpur,273212,10,72
26-10-2025,Uttar Pradesh,Gorakhpur,273306,4,50
26-10-2025,Uttar Pradesh,Gorakhpur,273402,6,83
26-10-2025,Uttar Pradesh,Gorakhpur,273406,4,25
19-10-2025,Uttar Pradesh,Gorakhpur,273001,5,24
19-10-2025,Uttar Pradesh,Gorakhpur,273003,0,3
19-10-2025,Uttar Pradesh,Gorakhpur,273007,5,34
19-10-2025,Uttar Pradesh,Gorakhpur,273165,9,45
19-10-2025,Uttar Pradesh,Gorakhpur,273209,8,47
19-10-2025,Uttar Pradesh,Gorakhpur,273212,9,34
19-10-2025,Uttar Pradesh,Gorakhpur,273401,1,10
19-10-2025,Uttar Pradesh,Gorakhpur,273402,7,39
19-10-2025,Uttar Pradesh,Gorakhpur,273405,1,15
19-10-2025,Uttar Pradesh,Gorakhpur,273412,6,22
21-10-2025,Uttar Pradesh,Gorakhpur,273004,0,2
21-10-2025,Uttar Pradesh,Gorakhpur,273007,2,6
21-10-2025,Uttar Pradesh,Gorakhpur,273013,2,4
21-10-2025,Uttar Pradesh,Gorakhpur,273014,1,3
21-10-2025,Uttar Pradesh,Gorakhpur,273016,3,11
21-10-2025,Uttar Pradesh,Gorakhpur,273201,0,7
21-10-2025,Uttar Pradesh,Gorakhpur,273213,0,8
21-10-2025,Uttar Pradesh,Gorakhpur,273405,0,5
21-10-2025,Uttar Pradesh,Gorakhpur,273407,4,7
21-10-2025,Uttar Pradesh,Gorakhpur,273411,3,8
20-10-2025,Uttar Pradesh,Gorakhpur,273004,1,1
20-10-2025,Uttar Pradesh,Gorakhpur,273005,1,1
20-10-2025,Uttar Pradesh,Gorakhpur,273012,0,1
20-10-2025,Uttar Pradesh,Gorakhpur,273203,1,2
20-10-2025,Uttar Pradesh,Gorakhpur,273402,1,4
22-10-2025,Uttar Pradesh,Gorakhpur,273004,0,1
22-10-2025,Uttar Pradesh,Gorakhpur,273013,1,0
22-10-2025,Uttar Pradesh,Gorakhpur,273014,1,0
22-10-2025,Uttar Pradesh,Gorakhpur,273152,0,1
22-10-2025,Uttar Pradesh,Gorakhpur,273212,0,2
23-10-2025,Uttar Pradesh,Gorakhpur,273001,0,1
23-10-2025,Uttar Pradesh,Gorakhpur,273002,0,2
23-10-2025,Uttar Pradesh,Gorakhpur,273005,0,3
23-10-2025,Uttar Pradesh,Gorakhpur,273010,0,1
23-10-2025,Uttar Pradesh,Gorakhpur,273402,0,2
23-10-2025,Uttar Pradesh,Gorakhpur,273404,0,4
23-10-2025,Uttar Pradesh,Gorakhpur,273408,0,3
23-10-2025,Uttar Pradesh,Gorakhpur,273409,0,4
23-10-2025,Uttar Pradesh,Gorakhpur,273411,0,4
23-10-2025,Uttar Pradesh,Gorakhpur,273413,0,1
24-10-2025,Uttar Pradesh,Gorakhpur,273003,0,4
24-10-2025,Uttar Pradesh,Gorakhpur,273007,5,33
24-10-2025,Uttar Pradesh,Gorakhpur,273014,1,16
24-10-2025,Uttar Pradesh,Gorakhpur,273212,9,63
24-10-2025,Uttar Pradesh,Gorakhpur,273407,4,42
27-10-2025,Uttar Pradesh,Gorakhpur,273002,1,17
27-10-2025,Uttar Pradesh,Gorakhpur,273004,0,4
27-10-2025,Uttar Pradesh,Gorakhpur,273012,0,3
27-10-2025,Uttar Pradesh,Gorakhpur,273013,4,27
27-10-2025,Uttar Pradesh,Gorakhpur,273209,8,37
27-10-2025,Uttar Pradesh,Gorakhpur,273211,2,21
27-10-2025,Uttar Pradesh,Gorakhpur,273306,1,17
27-10-2025,Uttar Pradesh,Gorakhpur,273402,4,34
27-10-2025,Uttar Pradesh,Gorakhpur,273408,1,11
25-10-2025,Uttar Pradesh,Gorakhpur,273002,4,30
25-10-2025,Uttar Pradesh,Gorakhpur,273005,1,7
25-10-2025,Uttar Pradesh,Gorakhpur,273016,5,38
25-10-2025,Uttar Pradesh,Gorakhpur,273152,3,32
25-10-2025,Uttar Pradesh,Gorakhpur,273158,6,45
25-10-2025,Uttar Pradesh,Gorakhpur,273165,10,56
25-10-2025,Uttar Pradesh,Gorakhpur,273401,1,17
25-10-2025,Uttar Pradesh,Gorakhpur,273405,1,7
25-10-2025,Uttar Pradesh,Gorakhpur,273409,1,14
25-10-2025,Uttar Pradesh,Gorakhpur,273413,3,36
28-10-2025,Uttar Pradesh,Gorakhpur,273003,0,2
28-10-2025,Uttar Pradesh,Gorakhpur,273004,1,8
28-10-2025,Uttar Pradesh,Gorakhpur,273008,1,11
28-10-2025,Uttar Pradesh,Gorakhpur,273010,0,5
28-10-2025,Uttar Pradesh,Gorakhpur,273209,2,32
28-10-2025,Uttar Pradesh,Gorakhpur,273211,3,20
28-10-2025,Uttar Pradesh,Gorakhpur,273402,2,18
28-10-2025,Uttar Pradesh,Gorakhpur,273408,0,9
28-10-2025,Uttar Pradesh,Gorakhpur,273409,1,9
04-11-2025,Uttar Pradesh,Gorakhpur,273157,0,1
13-11-2025,Uttar Pradesh,Gorakhpur,273009,0,1
14-12-2025,Uttar Pradesh,Gorakhpur,273012,0,1
29-12-2025,Uttar Pradesh,Gorakhpur,273005,1,19
29-12-2025,Uttar Pradesh,Gorakhpur,273014,1,24
29-12-2025,Uttar Pradesh,Gorakhpur,273017,0,2
29-12-2025,Uttar Pradesh,Gorakhpur,273152,5,44
29-12-2025,Uttar Pradesh,Gorakhpur,273411,4,45
03-01-2026,Uttar Pradesh,Gorakhpur,273008,0,4
03-01-2026,Uttar Pradesh,Gorakhpur,273009,0,1
03-01-2026,Uttar Pradesh,Gorakhpur,273010,0,6
03-01-2026,Uttar Pradesh,Gorakhpur,273015,0,14
03-01-2026,Uttar Pradesh,Gorakhpur,273016,2,12
03-01-2026,Uttar Pradesh,Gorakhpur,273403,0,9
21-12-2025,Uttar Pradesh,Gorakhpur,273004,0,1
21-12-2025,Uttar Pradesh,Gorakhpur,273155,0,4
21-12-2025,Uttar Pradesh,Gorakhpur,273158,2,15
21-12-2025,Uttar Pradesh,Gorakhpur,273203,4,11
21-12-2025,Uttar Pradesh,Gorakhpur,273408,1,11
21-12-2025,Uttar Pradesh,Gorakhpur,273413,2,11
20-12-2025,Uttar Pradesh,Gorakhpur,273002,1,10
20-12-2025,Uttar Pradesh,Gorakhpur,273005,3,8
20-12-2025,Uttar Pradesh,Gorakhpur,273016,3,29
20-12-2025,Uttar Pradesh,Gorakhpur,273017,1,0
20-12-2025,Uttar Pradesh,Gorakhpur,273161,0,9
20-12-2025,Uttar Pradesh,Gorakhpur,273406,1,20
20-12-2025,Uttar Pradesh,Gorakhpur,273407,11,35
22-12-2025,Uttar Pradesh,Gorakhpur,273007,1,41
22-12-2025,Uttar Pradesh,Gorakhpur,273010,0,12
22-12-2025,Uttar Pradesh,Gorakhpur,273152,0,27
22-12-2025,Uttar Pradesh,Gorakhpur,273155,1,10
22-12-2025,Uttar Pradesh,Gorakhpur,273202,2,28
22-12-2025,Uttar Pradesh,Gorakhpur,273407,2,35
01-01-2026,Uttar Pradesh,Gorakhpur,273002,1,20
01-01-2026,Uttar Pradesh,Gorakhpur,273015,5,56
01-01-2026,Uttar Pradesh,Gorakhpur,273211,1,13
01-01-2026,Uttar Pradesh,Gorakhpur,273213,3,19
01-01-2026,Uttar Pradesh,Gorakhpur,273404,2,24
01-01-2026,Uttar Pradesh,Gorakhpur,273405,1,9
01-01-2026,Uttar Pradesh,Gorakhpur,273406,3,11
01-01-2026,Uttar Pradesh,Gorakhpur,273412,3,24
02-01-2026,Uttar Pradesh,Gorakhpur,273002,4,21
02-01-2026,Uttar Pradesh,Gorakhpur,273213,1,11
02-01-2026,Uttar Pradesh,Gorakhpur,273401,1,15
02-01-2026,Uttar Pradesh,Gorakhpur,273402,5,44
02-01-2026,Uttar Pradesh,Gorakhpur,273408,6,19
23-12-2025,Uttar Pradesh,Gorakhpur,273003,3,8
23-12-2025,Uttar Pradesh,Gorakhpur,273012,0,3
23-12-2025,Uttar Pradesh,Gorakhpur,273213,1,27
23-12-2025,Uttar Pradesh,Gorakhpur,273402,3,67
23-12-2025,Uttar Pradesh,Gorakhpur,273404,6,30
23-12-2025,Uttar Pradesh,Gorakhpur,273411,0,28
26-12-2025,Uttar Pradesh,Gorakhpur,273010,0,14
26-12-2025,Uttar Pradesh,Gorakhpur,273012,0,3
26-12-2025,Uttar Pradesh,Gorakhpur,273158,5,54
26-12-2025,Uttar Pradesh,Gorakhpur,273201,2,40
26-12-2025,Uttar Pradesh,Gorakhpur,273408,3,43
18-12-2025,Uttar Pradesh,Gorakhpur,273005,0,15
18-12-2025,Uttar Pradesh,Gorakhpur,273158,7,50
18-12-2025,Uttar Pradesh,Gorakhpur,273213,1,22
18-12-2025,Uttar Pradesh,Gorakhpur,273306,1,40
18-12-2025,Uttar Pradesh,Gorakhpur,273405,0,22
18-12-2025,Uttar Pradesh,Gorakhpur,273413,3,46
27-12-2025,Uttar Pradesh,Gorakhpur,273303,1,0
