date,state,district,pincode,bio_age_5_17,bio_age_17_,city
11-08-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
13-08-2025,Uttar Pradesh,Bareilly,262001,0,1,bareilly
05-08-2025,Uttar Pradesh,Bareilly,243004,0,2,bareilly
09-08-2025,Uttar Pradesh,Bareilly,243401,0,4,bareilly
10-08-2025,Uttar Pradesh,Bareilly,243401,3,22,bareilly
07-08-2025,Uttar Pradesh,Bareilly,262122,0,1,bareilly
07-08-2025,Uttar Pradesh,Bareilly,262203,0,1,bareilly
29-06-2025,Uttar Pradesh,Bareilly,243002,0,1,bareilly
29-06-2025,Uttar Pradesh,Bareilly,243407,0,7,bareilly
29-06-2025,Uttar Pradesh,Bareilly,243501,3,45,bareilly
29-06-2025,Uttar Pradesh,Bareilly,243502,0,32,bareilly
28-06-2025,Uttar Pradesh,Bareilly,262122,0,1,bareilly
19-07-2025,Uttar Pradesh,Bareilly,243004,0,1,bareilly
07-07-2025,Uttar Pradesh,Bareilly,243407,0,18,bareilly
07-07-2025,Uttar Pradesh,Bareilly,262203,0,1,bareilly
08-07-2025,Uttar Pradesh,Bareilly,262122,0,1,bareilly
19-10-2025,Uttar Pradesh,Bareilly,243001,0,1,bareilly
19-10-2025,Uttar Pradesh,Bareilly,243504,0,1,bareilly
21-10-2025,Uttar Pradesh,Bareilly,243001,14,4,bareilly
21-10-2025,Uttar Pradesh,Bareilly,243301,9,12,bareilly
21-10-2025,Uttar Pradesh,Bareilly,243503,4,2,bareilly
21-10-2025,Uttar Pradesh,Bareilly,243504,5,3,bareilly
21-10-2025,Uttar Pradesh,Bareilly,243505,14,13,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243005,15,20,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243202,31,14,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243301,23,8,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243503,42,29,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243505,52,19,bareilly
18-10-2025,Uttar Pradesh,Bareilly,243506,3,2,bareilly
18-10-2025,Uttar Pradesh,Bareilly,262201,0,1,bareilly
18-10-2025,Uttar Pradesh,Bareilly,262406,39,31,bareilly
01-06-2025,Uttar Pradesh,Bareilly,243122,1,11,bareilly
01-06-2025,Uttar Pradesh,Bareilly,243203,0,4,bareilly
01-06-2025,Uttar Pradesh,Bareilly,243302,0,2,bareilly
14-06-2025,Uttar Pradesh,Bareilly,243203,3,33,bareilly
21-05-2025,Uttar Pradesh,Bareilly,243201,83,28,bareilly
21-05-2025,Uttar Pradesh,Bareilly,243301,73,16,bareilly
21-05-2025,Uttar Pradesh,Bareilly,243401,25,6,bareilly
21-05-2025,Uttar Pradesh,Bareilly,243501,23,10,bareilly
21-05-2025,Uttar Pradesh,Bareilly,262407,52,10,bareilly
22-05-2025,Uttar Pradesh,Bareilly,243005,26,13,bareilly
22-05-2025,Uttar Pradesh,Bareilly,243202,25,8,bareilly
22-05-2025,Uttar Pradesh,Bareilly,243203,23,10,bareilly
22-05-2025,Uttar Pradesh,Bareilly,243407,2,3,bareilly
22-05-2025,Uttar Pradesh,Bareilly,243502,42,20,bareilly
23-05-2025,Uttar Pradesh,Bareilly,243003,15,15,bareilly
23-05-2025,Uttar Pradesh,Bareilly,243202,38,12,bareilly
23-05-2025,Uttar Pradesh,Bareilly,243303,22,7,bareilly
23-05-2025,Uttar Pradesh,Bareilly,243506,21,3,bareilly
25-05-2025,Uttar Pradesh,Bareilly,243201,3,6,bareilly
25-05-2025,Uttar Pradesh,Bareilly,262406,2,0,bareilly
24-05-2025,Uttar Pradesh,Bareilly,243001,37,38,bareilly
24-05-2025,Uttar Pradesh,Bareilly,243502,20,11,bareilly
24-05-2025,Uttar Pradesh,Bareilly,243504,39,14,bareilly
24-05-2025,Uttar Pradesh,Bareilly,243506,20,5,bareilly
27-05-2025,Uttar Pradesh,Bareilly,243001,39,42,bareilly
27-05-2025,Uttar Pradesh,Bareilly,243122,45,28,bareilly
27-05-2025,Uttar Pradesh,Bareilly,243303,42,6,bareilly
27-05-2025,Uttar Pradesh,Bareilly,243402,28,3,bareilly
27-05-2025,Uttar Pradesh,Bareilly,243504,30,10,bareilly
27-05-2025,Uttar Pradesh,Bareilly,243505,44,21,bareilly
26-05-2025,Uttar Pradesh,Bareilly,243006,13,18,bareilly
26-05-2025,Uttar Pradesh,Bareilly,243401,6,0,bareilly
26-05-2025,Uttar Pradesh,Bareilly,243403,3,0,bareilly
26-05-2025,Uttar Pradesh,Bareilly,262407,64,11,bareilly
02-06-2025,Uttar Pradesh,Bareilly,243402,4,6,bareilly
02-06-2025,Uttar Pradesh,Bareilly,243407,1,4,bareilly
01-06-2025,Uttar Pradesh,Bareilly,243201,2,0,bareilly
01-06-2025,Uttar Pradesh,Bareilly,243502,0,1,bareilly
01-06-2025,Uttar Pradesh,Bareilly,243505,10,5,bareilly
28-05-2025,Uttar Pradesh,Bareilly,243005,18,14,bareilly
28-05-2025,Uttar Pradesh,Bareilly,243006,9,13,bareilly
28-05-2025,Uttar Pradesh,Bareilly,243122,39,15,bareilly
