date,state,district,pincode,bio_age_5_17,bio_age_17_
26-09-2025,Delhi,New Delhi,110001,3,5
17-09-2025,Delhi,New Delhi,110021,2,4
01-10-2025,Delhi,New Delhi,110021,3,6
20-09-2025,Delhi,New Delhi,110011,0,2
22-09-2025,Delhi,New Delhi,110021,5,3
23-09-2025,Delhi,New Delhi,110001,12,6
03-11-2025,Delhi,New Delhi,110011,0,1
03-11-2025,Delhi,New Delhi,110021,6,5
04-11-2025,Delhi,New Delhi,110021,0,5
06-11-2025,Delhi,New Delhi,110011,0,1
21-10-2025,Delhi,New Delhi,110001,3,1
18-10-2025,Delhi,New Delhi,110021,0,2
09-06-2025,Delhi,New Delhi,110011,0,1
01-06-2025,Delhi,New Delhi,110023,0,1
29-05-2025,Delhi,New Delhi,110011,0,2
27-05-2025,Delhi,New Delhi,110023,0,4
13-07-2025,Delhi,New Delhi,110023,0,2
09-07-2025,Delhi,New Delhi,110011,2,0
10-06-2025,Delhi,New Delhi,110011,0,1
19-06-2025,Delhi,New Delhi,110011,0,5
13-06-2025,Delhi,New Delhi,110021,5,7
17-06-2025,Delhi,New Delhi,110021,4,5
21-06-2025,Delhi,New Delhi,110001,2,5
21-06-2025,Delhi,New Delhi,110011,0,1
20-05-2025,Delhi,New Delhi,110001,9,15
27-05-2025,Delhi,New Delhi,110001,6,10
27-05-2025,Delhi,New Delhi,110021,12,11
24-05-2025,Delhi,New Delhi,110021,0,3
02-06-2025,Delhi,New Delhi,110021,2,8
30-05-2025,Delhi,New Delhi,110001,1,14
06-06-2025,Delhi,New Delhi,110023,0,1
11-06-2025,Delhi,New Delhi,110021,5,3
14-06-2025,Delhi,New Delhi,110001,5,3
14-06-2025,Delhi,New Delhi,110021,2,3
23-06-2025,Delhi,New Delhi,110001,3,5
22-06-2025,Delhi,New Delhi,110001,0,1
25-06-2025,Delhi,New Delhi,110001,6,10
12-08-2025,Delhi,New Delhi,110021,2,4
13-08-2025,Delhi,New Delhi,110023,0,1
14-08-2025,Delhi,New Delhi,110001,3,4
25-08-2025,Delhi,New Delhi,110021,5,2
09-08-2025,Delhi,New Delhi,110021,1,0
19-08-2025,Delhi,New Delhi,110001,1,7
21-08-2025,Delhi,New Delhi,110021,1,8
07-09-2025,Delhi,New Delhi,110001,0,1
06-09-2025,Delhi,New Delhi,110001,3,5
09-09-2025,Delhi,New Delhi,110021,5,3
29-06-2025,Delhi,New Delhi,110021,1,1
30-06-2025,Delhi,New Delhi,110021,9,5
06-07-2025,Delhi,New Delhi,110021,0,1
07-07-2025,Delhi,New Delhi,110021,2,1
26-07-2025,Delhi,New Delhi,110023,1,3
17-07-2025,Delhi,New Delhi,110001,3,9
16-07-2025,Delhi,New Delhi,110001,4,4
25-07-2025,Delhi,New Delhi,110001,1,9
