date,state,district,pincode,bio_age_5_17,bio_age_17_
23-09-2025,Uttar Pradesh,Bareilly,243501,42,8
23-09-2025,Uttar Pradesh,Bareilly,243502,38,31
02-10-2025,Uttar Pradesh,Bareilly,262406,18,4
30-09-2025,Uttar Pradesh,Bareilly,243504,53,23
30-09-2025,Uttar Pradesh,Bareilly,243505,65,21
18-09-2025,Uttar Pradesh,Bareilly,243001,59,33
18-09-2025,Uttar Pradesh,Bareilly,243407,0,4
18-09-2025,Uttar Pradesh,Bareilly,262407,112,18
20-09-2025,Uttar Pradesh,Bareilly,243123,34,13
20-09-2025,Uttar Pradesh,Bareilly,243203,43,13
20-09-2025,Uttar Pradesh,Bareilly,243402,30,6
20-09-2025,Uttar Pradesh,Bareilly,243407,3,0
20-09-2025,Uttar Pradesh,Bareilly,262122,1,0
20-09-2025,Uttar Pradesh,Bareilly,262201,1,0
21-09-2025,Uttar Pradesh,Bareilly,243001,4,1
21-09-2025,Uttar Pradesh,Bareilly,243123,9,3
21-09-2025,Uttar Pradesh,Bareilly,243402,1,0
21-09-2025,Uttar Pradesh,Bareilly,262406,4,1
19-09-2025,Uttar Pradesh,Bareilly,243002,0,1
19-09-2025,Uttar Pradesh,Bareilly,243301,83,11
19-09-2025,Uttar Pradesh,Bareilly,243303,52,15
19-09-2025,Uttar Pradesh,Bareilly,243403,8,0
19-09-2025,Uttar Pradesh,Bareilly,243505,63,22
19-09-2025,Uttar Pradesh,Bareilly,262406,143,32
22-09-2025,Uttar Pradesh,Bareilly,243201,193,43
05-10-2025,Uttar Pradesh,Bareilly,243006,1,3
05-10-2025,Uttar Pradesh,Bareilly,243303,0,1
05-10-2025,Uttar Pradesh,Bareilly,243505,3,3
06-10-2025,Uttar Pradesh,Bareilly,243201,50,44
06-10-2025,Uttar Pradesh,Bareilly,243203,19,10
29-10-2025,Uttar Pradesh,Bareilly,243122,40,42
29-10-2025,Uttar Pradesh,Bareilly,243401,20,10
29-10-2025,Uttar Pradesh,Bareilly,243504,54,34
31-10-2025,Uttar Pradesh,Bareilly,243001,50,39
31-10-2025,Uttar Pradesh,Bareilly,243003,12,17
31-10-2025,Uttar Pradesh,Bareilly,243402,34,3
31-10-2025,Uttar Pradesh,Bareilly,243504,38,16
31-10-2025,Uttar Pradesh,Bareilly,262406,37,38
30-10-2025,Uttar Pradesh,Bareilly,243001,66,37
30-10-2025,Uttar Pradesh,Bareilly,243005,24,18
30-10-2025,Uttar Pradesh,Bareilly,243006,25,20
30-10-2025,Uttar Pradesh,Bareilly,243402,37,5
30-10-2025,Uttar Pradesh,Bareilly,243501,27,11
30-10-2025,Uttar Pradesh,Bareilly,243503,46,44
07-11-2025,Uttar Pradesh,Bareilly,243001,43,33
07-11-2025,Uttar Pradesh,Bareilly,243005,19,29
07-11-2025,Uttar Pradesh,Bareilly,243201,70,60
07-11-2025,Uttar Pradesh,Bareilly,243302,36,21
07-11-2025,Uttar Pradesh,Bareilly,243504,21,20
07-11-2025,Uttar Pradesh,Bareilly,243505,78,32
07-11-2025,Uttar Pradesh,Bareilly,262203,1,0
08-11-2025,Uttar Pradesh,Bareilly,243301,21,3
08-11-2025,Uttar Pradesh,Bareilly,243401,13,4
08-11-2025,Uttar Pradesh,Bareilly,243402,7,7
08-11-2025,Uttar Pradesh,Bareilly,243501,3,0
08-11-2025,Uttar Pradesh,Bareilly,243503,31,19
08-11-2025,Uttar Pradesh,Bareilly,243505,67,21
02-11-2025,Uttar Pradesh,Bareilly,243006,1,2
02-11-2025,Uttar Pradesh,Bareilly,243123,6,0
02-11-2025,Uttar Pradesh,Bareilly,243201,0,6
02-11-2025,Uttar Pradesh,Bareilly,262407,1,1
